rank,player_name,team,position,fit_score,dna_match,gap_filling,minutes,matches,why_recommend
1,Agustín Palavecino,Necaxa,Right Defensive Midfield,96.67,99.6,99.7,3575.57253333333,36,"Excellent tactical match with América's style; Elite in: Progression, Creation; Strengthens team's creation"
2,Alán Ernesto Bautista Gutiérrez,Pachuca,Center Attacking Midfield,96.67,99.44,100.0,1264.06403333333,25,"Excellent tactical match with América's style; Elite in: Progression, Creation; Strengthens team's creation"
3,Nelson Alexander Deossa Suárez,Monterrey,Right Center Midfield,96.63,99.39,100.0,1632.75065,21,"Excellent tactical match with América's style; Elite in: Progression, Creation; Strengthens team's creation"
4,Ángel Jeremy Márquez Castañeda,Atlas,Left Center Midfield,96.02,99.13,98.48,2942.71435,33,"Excellent tactical match with América's style; Elite in: Creation, Pressing; Strengthens team's creation"
5,Nelson Alexander Deossa Suárez,Pachuca,Left Defensive Midfield,96.0,98.34,100.0,1363.78675,16,"Excellent tactical match with América's style; Elite in: Progression, Creation; Strengthens team's creation"
6,Elías Enrique Montiel Ávalos,Pachuca,Right Defensive Midfield,95.96,98.26,100.0,2806.44593333333,30,"Excellent tactical match with América's style; Elite in: Progression, Creation; Strengthens team's creation"
7,Guillermo Muñoz Ramírez,Santos Laguna,Left Wing Back,94.37,99.65,91.92,398.247233333333,10,"Excellent tactical match with América's style; Elite in: Pressing, Possession; Strengthens team's creation"
8,Robert Ismael Ergas Moreno,Pumas UNAM,Left Wing Back,94.33,98.67,93.77,2912.87065,34,"Excellent tactical match with América's style; Elite in: Creation, Pressing; Strengthens team's creation"
9,Aldahir Perez,Querétaro,Left Center Midfield,93.61,99.33,90.05,794.8473,14,"Excellent tactical match with América's style; Elite in: Finishing, Pressing; Strengthens team's creation"
10,Marcel Alejandro Ruiz Suárez,Toluca,Left Defensive Midfield,93.38,99.21,89.51,3820.66173333333,41,"Excellent tactical match with América's style; Elite in: Progression, Pressing; Strengthens team's creation"
11,Érick Gabriel Gutiérrez Galaviz,Guadalajara,Left Center Midfield,93.24,98.98,89.51,2612.98795,30,Excellent tactical match with América's style; Elite in: Pressing; Strengthens team's creation
12,Benjamín Ignacio Galdames Millán,Atlético San Luis,Right Wing Back,92.81,98.65,88.75,663.439633333333,22,"Excellent tactical match with América's style; Elite in: Progression, Creation; Strengthens team's creation"
13,Diego Armando Barbosa Zaragoza,Toluca,Right Back,92.74,96.23,93.34,1651.92531666667,20,"Excellent tactical match with América's style; Elite in: Pressing, Dribbling; Strengthens team's creation"
14,Mateo Ezequiel García,Atlas,Center Attacking Midfield,92.74,99.28,87.25,697.7956,19,"Excellent tactical match with América's style; Elite in: Pressing, Possession; Strengthens team's creation"
15,Sebastián Santos Rosales,León,Right Back,92.66,98.01,89.51,1843.50348333333,22,"Excellent tactical match with América's style; Elite in: Pressing, Dribbling; Strengthens team's creation"
16,Rodrigo Dourado Cunha,Atlético San Luis,Right Defensive Midfield,92.56,97.84,89.51,3720.41175,37,Excellent tactical match with América's style; Elite in: Pressing; Strengthens team's creation
17,Cristián Andrés Dájome Arboleda,Santos Laguna,Right Wing,92.52,97.17,90.72,754.375633333333,12,"Excellent tactical match with América's style; Elite in: Pressing, Possession; Strengthens team's creation"
18,Fernando Gorriarán Fontes,Tigres UANL,Right Defensive Midfield,92.48,98.64,87.66,3501.51471666667,36,"Excellent tactical match with América's style; Elite in: Progression, Creation; Strengthens team's creation"
19,Frankie Amaya,Toluca,Left Defensive Midfield,92.1,93.75,96.18,460.624016666667,15,"Excellent tactical match with América's style; Elite in: Progression, Creation; Strengthens team's creation"
20,Alexei Domínguez Figueroa,Pachuca,Left Wing,92.02,96.94,89.51,285.5781,10,"Excellent tactical match with América's style; Elite in: Pressing, Possession; Strengthens team's creation"
